Company,Total sale,Smoke,Human,FF,Purchase,Disposal
1,14275600,33886800,5697,1456562,1358738,293370
2,9065400,18057290,2574,360770,386031,136200
3,11016800,23694060,3509,1603575,1532154,332254
4,1712100,6381735,2537,298128,478002,269880
5,18312700,93032930,16217,4677522,3941802,533871
6,19776600,59841457,9467,2355310,1848604,155302
7,3330900,21051480,4179,370954,327988,61335
8,0,30923130,4689,960042,730979,42294
9,0,37754527,5559,1186473,932033,101966
10,17391900,73291580,11686,4871543,4321893,756842
11,8191600,27978000,7087,1638105,1578886,366375
12,15807900,92322500,12776,5927960,4845511,587946
13,22354700,85506720,15370,6295684,5463157,952065
14,6621500,19287620,2324,1529626,1445825,338055
15,2173500,15142780,4812,1570336,1344299,181882
16,0,1166150,425,51271,45205,29025
17,714700,3217230,1060,129022,121946,5030
18,17289900,43672490,3921,1172200,1003525,151727
19,747100,2221560,509,0,0,0
20,689500,2248330,483,0,0,0
21,863300,8731780,3236,880852,666646,1400
22,0,622394283,10039,0,0,0
23,17179300,54907470,7637,4552612,3550895,234810
24,13849800,39784600,6553,2340836,2238183,553768
25,139500,827910,438,54850,406493,371570
26,10031000,29001470,5902,1303545,1142598,212141
27,8525300,49394540,11605,4587013,3907903,350480
28,18360000,65587570,9871,2989656,2373185,139859
29,14100100,80940980,14187,5178586,4462587,474793
30,21816100,46935300,7565,1833262,1608151,219518
31,0,313909528,8535,0,0,0
32,32464500,107018810,22338,5006330,4120415,465167
33,4147800,14209910,3818,409248,393870,77368
34,1663900,6868560,1293,215935,346579,144865
35,11929800,23053400,3882,856808,1062308,482180
36,6027200,38561720,7171,2076165,1822493,288047
37,15642100,104583170,36771,1059445,822663,74495
38,274500,6786130,2246,193433,232523,79611
39,11241100,28875099,6441,1534589,1274126,172418
40,2307000,8087710,2568,388363,327826,39968
41,10122700,44834230,5388,2737962,2402021,342993
42,66971400,208962265,59895,8091701,5747982,30690
43,19098200,67004310,9292,2042007,1925752,448838
44,121500,2381910,1075,33400,35278,3725
45,0,23450720,10202,2772816,2258703,15973
46,0,4912070,2396,664300,544830,82340
47,22381600,84394058,17908,7120430,6104237,707017
48,11561500,17126910,4118,370750,369161,110039
49,20993000,66262687,11440,4000949,3137726,281214
50,0,15181250,233,0,0,0
51,0,91701670,1881,0,0,3200
52,0,3681550,864,0,0,0
53,16928900,91138385,13289,3904525,3638416,866537
54,7372800,57601260,12635,3991499,3114955,176454
55,19768100,54863270,7565,1550268,1295156,171444
56,0,64688030,1150,0,0,0
57,8648500,55849561,9423,4410574,4214952,939563
58,0,2392420,1008,348586,534730,285827
59,1839900,7106170,2292,574434,544482,123744
60,1686600,5884460,2206,228745,356578,188438
61,504000,4303380,2006,301190,314233,92226
62,0,3671700,884,320750,431110,304140
63,9450400,96097120,6471,775300,665982,148039
64,20917500,45965030,9754,1456580,1226834,166297
65,8266200,35283220,6643,1734010,1615106,285741
66,0,3377950,302,0,0,0
67,1155300,5249960,1364,671735,647210,150122
68,8171400,100677306,11287,1844442,1726254,392912
69,6171800,19526520,3245,466157,467199,80393
70,11246800,50993720,8029,1857672,1570816,285509