datetime,A,D,F,q,w,e,r,c,v,b,z,a,s,d,f,b,v,d,center
2021-01-01,4,2021,1,1,6,1,154,19079,8933.485508,170441970,2715018,43634221539,3,1,-3,-9,2,0,127990427
2021-01-02,4,2021,1,1,7,0,156,18424,8674.05558,159810800,2851517,41089271014,0,1,-3,-7,1,0,149570374
2021-01-03,4,2021,1,2,1,0,157,15117,8087.980419,122266000,2568485,40990482121,0,0,-3,-8,1,0,18196074
2021-01-04,4,2021,1,2,2,0,155,17322,7833.764577,135696470,2841353,38111306642,3,2,-2,-8,4,0,113163098
2021-01-05,4,2021,1,2,3,0,155,17123,7768.274251,133016160,3598598,40143317541,2,1,-2,-7,2,0,160473368
2021-01-06,4,2021,1,2,4,0,155,16940,7756.457497,131394390,2980579,43221190940,1,3,-6,-11,-1,1,121136260
2021-01-07,4,2021,1,2,5,0,156,15916,7929.232219,126201660,2139564,40563213318,2,2,-11,-15,-4,1,110572623
2021-01-08,4,2021,1,2,6,0,156,16927,8469.792639,143368180,2695880,43235141385,0,3,-12,-17,-7,0,123214719
2021-01-09,4,2021,1,2,7,0,157,16988,8681.460443,147480650,2692182,41053687895,0,1,-10,-16,-5,0,119216571
2021-01-10,4,2021,1,3,1,0,158,15374,8329.214908,128053350,2476617,40980485402,0,0,-7,-14,-1,0,15011714
2021-01-11,4,2021,1,3,2,0,157,16650,7835.0997,130454410,2529595,37783528175,0,1,-6,-10,-1,0,104961828
2021-01-12,4,2021,1,3,3,0,156,17369,8041.719731,139676630,2644760,40099840971,0,1,-3,-10,3,0,137894162
2021-01-13,4,2021,1,3,4,0,156,17881,7829.448017,139998360,2339012,41885343779,2,3,3,-4,10,0,107262390
2021-01-14,4,2021,1,3,5,0,156,18066,7688.491642,138900290,3262414,40253327753,0,3,3,-3,10,0,108023975
2021-01-15,4,2021,1,3,6,0,157,19378,8375.17236,162294090,2435735,42360921909,4,2,6,-2,13,0,108433764
2021-01-16,4,2021,1,3,7,0,158,19525,8636.20128,168621830,2920438,40028470838,0,1,-1,-5,5,0,144836460
2021-01-17,4,2021,1,4,1,0,157,16218,8199.723147,132983110,2453191,39952670316,1,1,-4,-8,0,0,16630166
2021-01-18,4,2021,1,4,2,0,157,16274,7971.114661,129721920,2491060,36613790236,0,1,-2,-7,3,2,113928169
2021-01-19,4,2021,1,4,3,0,155,16883,7957.360066,134344110,2177163,39441046005,0,1,-5,-11,1,0,159986418
2021-01-20,4,2021,1,4,4,0,157,17635,7799.489651,137544000,2341029,41769389616,0,1,-1,-9,8,0,118678320
2021-01-21,4,2021,1,4,5,0,157,17727,8553.205844,151622680,2395228,39692098135,0,0,5,-2,10,4,108145402
2021-01-22,4,2021,1,4,6,0,156,19150,8370.661097,160298160,2452862,42623244616,1,3,7,5,10,1,116206664
2021-01-23,4,2021,1,4,7,0,156,19602,8922.025304,174889540,2214817,40804401773,0,0,7,5,11,2,126543180
2021-01-24,4,2021,1,5,1,0,157,18175,8084.634938,146938240,2422076,40699623812,0,1,6,2,12,0,16333934
2021-01-25,4,2021,1,5,2,0,156,18783,7802.792951,146559860,2361396,37766811699,4,4,6,1,13,0,106279651
2021-01-26,4,2021,1,5,3,0,157,17681,7912.934789,139908600,2687168,41683050662,0,4,5,2,7,6,161738515
2021-01-27,4,2021,1,5,4,0,158,18655,7700.45457,143651980,2448751,45776463593,1,7,3,-1,9,0,122246605
2021-01-28,4,2021,1,5,5,0,156,16879,8075.522247,136306740,1980879,43200139141,3,6,-1,-6,6,1,121788812
2021-01-29,4,2021,1,5,6,0,157,18372,8395.5258,154242600,2379626,46565523527,8,2,-6,-9,-1,0,186957162
2021-01-30,4,2021,1,5,7,0,157,20035,8835.639631,177022040,2437815,46986954396,1,11,-1,-8,7,0,137175368
2021-01-31,4,2021,1,6,1,0,158,17757,7974.469787,141602660,2230136,44842426264,6,14,3,-5,11,1,15752928
2021-02-01,4,2021,2,6,2,0,156,17899,7828.892117,140129340,2390988,44746292674,2,0,7,2,11,9,119178751
2021-02-02,4,2021,2,6,3,0,155,17251,8051.966843,138904480,2233083,46591194369,3,2,-2,-5,4,0,172076570
2021-02-03,4,2021,2,6,4,0,156,17656,7827.750906,138206770,2626422,48779336972,0,1,-2,-8,3,1,126050217
2021-02-04,4,2021,2,6,5,0,156,17486,7867.766785,137575770,2193597,46602118608,1,1,0,-5,4,1,124781306
2021-02-05,4,2021,2,6,6,0,156,19357,8302.490055,160711300,2343343,49169536430,2,0,1,-6,7,0,122929995
2021-02-06,4,2021,2,6,7,0,157,21582,8443.487165,182227340,2109468,47297413452,0,0,5,-1,11,0,152711485
2021-02-07,4,2021,2,7,1,0,157,17880,8016.610179,143336990,2352985,47013858784,0,0,6,0,11,0,16999603
2021-02-08,4,2021,2,7,2,0,156,17550,8077.164103,141754230,2624567,44826531195,1,5,-1,-4,3,0,119879914
2021-02-09,4,2021,2,7,3,0,155,17580,7817.865757,137438080,2978395,51511061761,1,0,0,-6,6,0,211156285
2021-02-10,4,2021,2,7,4,0,157,19199,8456.166467,162349940,3223248,57130556753,2,1,2,-4,9,0,175770524
2021-02-11,4,2021,2,7,5,1,154,20638,8627.437736,178053060,2705894,53708756888,0,0,4,-2,11,0,179026560
2021-02-12,4,2021,2,7,6,1,149,23331,9141.323132,213276210,2456368,53622958863,0,0,6,0,15,0,15728050
2021-02-13,4,2021,2,7,7,1,153,23428,8559.77719,200538460,2459107,49679166628,0,0,6,-2,17,0,127619953
2021-02-14,4,2021,2,8,1,0,156,20083,8003.602051,160736340,2280622,49366642806,0,0,8,2,14,2,18202960
2021-02-15,4,2021,2,8,2,0,156,17886,7547.776473,134999530,2517470,46652180220,2,0,3,-2,9,1,142637395
2021-02-16,4,2021,2,8,3,0,156,17726,7499.820038,132941810,3393470,49210801850,1,1,-2,-6,3,1,163996947
2021-02-17,4,2021,2,8,4,0,155,17310,7554.164067,130762580,3172243,52087299676,1,2,-6,-8,-3,1,123466252
2021-02-18,4,2021,2,8,5,0,156,18173,7656.243878,139136920,2229993,49651005855,1,0,-5,-9,0,0,125847032
2021-02-19,4,2021,2,8,6,0,156,20608,8107.516013,167079690,2597649,48902202153,2,3,2,-7,10,0,109696044
2021-02-20,4,2021,2,8,7,0,157,23717,8165.797951,193668230,2470069,45979120292,0,2,9,3,16,0,135412039
2021-02-21,4,2021,2,9,1,0,156,21095,7714.393932,162735140,1980261,45973544778,1,1,12,3,21,0,17212821
2021-02-22,4,2021,2,9,2,0,157,20559,7555.538207,155334310,2242660,43047077660,2,7,10,3,18,0,107216564
2021-02-23,4,2021,2,9,3,0,156,19520,7699.199795,150288380,2546194,45805110790,0,0,3,-2,8,0,171087398
2021-02-24,4,2021,2,9,4,0,155,20260,7364.786278,149210570,2325630,51624641978,1,6,3,-2,10,0,134147760
2021-02-25,4,2021,2,9,5,0,154,19824,7563.335856,149935570,2202798,49193296580,5,8,4,-1,8,3,112993897
2021-02-26,4,2021,2,9,6,0,156,22212,8001.762111,177735140,2508408,53159249685,0,14,7,2,13,1,177869336
2021-02-27,4,2021,2,9,7,0,156,24576,8607.204997,211530670,2345411,52096149317,1,7,7,3,11,0,173237789
2021-02-28,4,2021,2,10,1,0,157,26614,8489.283084,225933780,2306749,52062463077,5,18,7,1,12,0,17843087
2021-03-01,1,2021,3,10,2,1,154,16804,9139.932754,153587430,2479395,47595423917,3,0,8,3,13,50,116960905
2021-03-02,1,2021,3,10,3,0,154,19627,7349.35548,144245800,2421583,50305146740,3,1,2,-1,6,3,205407240
2021-03-03,1,2021,3,10,4,0,153,19781,7156.052272,141553870,2187186,50441342514,0,0,3,-3,9,0,128156908
2021-03-04,1,2021,3,10,5,0,154,19987,7223.099014,144368080,2312712,48108308227,1,1,6,1,10,4,133126202
2021-03-05,1,2021,3,10,6,0,156,22063,7430.256085,163933740,3221285,49744606373,1,1,9,2,17,0,130261761
2021-03-06,1,2021,3,10,7,0,155,19937,8342.29523,166320340,2355944,47536669164,0,1,6,3,11,0,159781741
2021-03-07,1,2021,3,11,1,0,156,19137,7486.543345,143269980,2344769,47509669234,0,0,6,2,10,0,21574217
2021-03-08,1,2021,3,11,2,0,156,20465,7001.047154,143276430,2356630,44087304775,2,2,6,0,13,0,133507117
2021-03-09,1,2021,3,11,3,0,157,21041,7106.283922,149523320,2655669,46220838277,4,4,7,2,14,0,166121765
2021-03-10,1,2021,3,11,4,0,157,21279,7126.01814,151634540,2729450,47978571888,0,1,8,1,16,0,120631880
2021-03-11,1,2021,3,11,5,0,158,21502,7016.852386,150876360,2414238,45563216970,0,2,9,1,17,1,128905462
2021-03-12,1,2021,3,11,6,0,157,20671,7641.591602,157959340,2469430,47770832216,0,3,8,6,11,13,121005216
2021-03-13,1,2021,3,11,7,0,158,23975,8030.835871,192539290,2331968,45850153224,0,0,8,3,15,0,135748619
2021-03-14,1,2021,3,12,1,0,158,21785,7698.386045,167709340,2498774,45764586867,0,1,8,3,15,0,16270809
2021-03-15,1,2021,3,12,2,0,158,21428,7031.115363,150662740,2494399,41795529342,1,11,11,2,17,0,110486871
2021-03-16,1,2021,3,12,3,0,157,21618,6990.418633,151118870,2364187,44580640886,2,0,11,5,17,2,172224580
2021-03-17,1,2021,3,12,4,0,157,22295,6748.936981,150467550,2922875,46543955420,3,1,8,1,17,0,128600107
2021-03-18,1,2021,3,12,5,0,158,21821,6963.893955,151959130,2281566,44081485171,0,2,10,3,17,0,127760696
2021-03-19,1,2021,3,12,6,0,158,22976,7354.273155,168971780,2270296,47063994541,3,1,12,7,17,0,137508390
2021-03-20,1,2021,3,12,7,0,159,21823,8088.530908,176516010,2220838,45056957827,2,1,9,7,11,6,136572693
2021-03-21,1,2021,3,13,1,0,160,19492,7605.798276,148252220,2636969,44982494237,0,2,7,4,11,0,14441808
2021-03-22,1,2021,3,13,2,0,159,20860,6928.098754,144520140,2743563,41067839502,0,4,7,2,12,0,111305860
2021-03-23,1,2021,3,13,3,0,159,21685,7010.872493,152030770,2642138,44631430051,0,0,9,1,17,0,156905787
2021-03-24,1,2021,3,13,4,0,159,22547,6789.538298,153083720,2545444,48604907574,4,2,10,3,17,0,116069795
2021-03-25,1,2021,3,13,5,0,160,22838,6809.960592,155525880,2333948,46322482365,0,6,12,4,20,0,120695506
2021-03-26,1,2021,3,13,6,0,160,24172,7444.024077,179936950,2500346,50345563680,1,4,13,4,21,0,131584398
2021-03-27,1,2021,3,13,7,0,161,22113,8249.75987,182426940,2474955,46612893376,1,4,12,7,16,27,182040471
2021-03-28,1,2021,3,14,1,0,161,20233,7590.69787,153582590,2434679,46565459016,0,2,12,9,16,5,16136481
2021-03-29,1,2021,3,14,2,0,161,21712,6883.507738,149454720,2604135,44041151934,1,5,12,8,17,0,157055888
2021-03-30,1,2021,3,14,3,0,161,22680,6769.886243,153541020,2209625,48218104903,0,6,12,5,19,0,174996000
2021-03-31,1,2021,3,14,4,0,162,23562,6911.185383,162841350,2594603,52505086210,13,21,12,3,22,0,125622448
2021-04-01,1,2021,4,14,5,0,158,23423,6794.977159,159158750,2351399,49497543094,6,1,14,7,20,0,128756531
2021-04-02,1,2021,4,14,6,0,161,25478,7426.267368,189206440,2307788,49654456533,0,1,16,11,21,0,142131360
2021-04-03,1,2021,4,14,7,0,162,20890,8786.191,183543530,2596319,47243759467,0,3,14,12,17,32,176395302
2021-04-04,1,2021,4,15,1,0,161,20281,7651.21493,155174290,3365541,47140533489,0,0,10,7,14,9,21258185
2021-04-05,1,2021,4,15,2,0,162,22442,7176.617503,161057650,2541690,43652997038,0,5,10,3,17,0,127246487
2021-04-06,1,2021,4,15,3,0,162,23343,7035.037484,164218880,2648949,48386981160,2,1,12,4,19,0,171056857
2021-04-07,1,2021,4,15,4,0,162,23123,7035.894996,162691000,2825058,49272945366,1,1,13,6,21,0,150814263
2021-04-08,1,2021,4,15,5,0,162,22872,6797.794246,155479150,2505176,46585090538,0,3,12,6,19,0,129965733
2021-04-09,1,2021,4,15,6,0,162,24743,7494.254537,185430340,2513295,49808100939,0,1,10,4,17,1,137749444
2021-04-10,1,2021,4,15,7,0,162,27991,7946.079454,222418710,2310161,47239219222,0,2,11,4,18,0,140832513
2021-04-11,1,2021,4,16,1,0,162,25088,7423.902264,186250860,2382646,47169186400,0,2,13,4,21,0,18088654
2021-04-12,1,2021,4,16,2,0,162,20852,7121.773931,148503230,2365230,43188207694,1,4,13,10,16,21,128414975
2021-04-13,1,2021,4,16,3,0,162,22618,7026.565125,158926850,2535275,46645390074,4,2,12,6,17,3,203284369
2021-04-14,1,2021,4,16,4,0,162,22996,7012.598713,161261720,2352100,49433197046,0,6,9,4,15,0,140219116
2021-04-15,1,2021,4,16,5,0,162,23523,6941.645623,163288330,2175865,47080623991,3,7,10,2,18,0,122585048
2021-04-16,1,2021,4,16,6,0,162,24613,7537.053793,185509505,27141025,49599393319,2,2,12,6,17,0,145135117
2021-04-17,1,2021,4,16,7,0,162,25660,8180.702065,209916815,2358186,46875625086,1,3,10,6,16,0,151185287
2021-04-18,1,2021,4,17,1,0,162,23911,7517.049475,179740170,2416046,46835578437,0,0,10,5,16,0,19665669
2021-04-19,1,2021,4,17,2,0,162,24236,6883.099934,166818810,2266751,42342972758,1,0,13,4,21,0,129606184
2021-04-20,1,2021,4,17,3,0,162,24947,6872.308895,171443490,2378821,44618919724,1,4,15,7,24,0,182725816
2021-04-21,1,2021,4,17,4,0,162,25511,6736.760221,171861490,3431983,47716382064,2,4,17,8,26,0,154784840
2021-04-22,1,2021,4,17,5,0,161,25064,6750.934408,169205420,2133234,45164392547,0,4,19,13,26,0,143343889
2021-04-23,1,2021,4,17,6,0,162,25438,7514.454753,191152700,2356691,48158619947,1,5,17,14,21,0,163197378
2021-04-24,1,2021,4,17,7,0,163,28825,7911.73686,228055815,2341363,45799562462,2,5,16,11,22,0,166765309
2021-04-25,1,2021,4,18,1,0,163,25302,7499.982215,189764550,2303816,45713783575,0,4,15,9,21,0,19269662
2021-04-26,1,2021,4,18,2,0,163,24345,6835.250359,166404170,2698331,41705531158,2,6,14,7,20,0,126312923
2021-04-27,1,2021,4,18,3,0,163,23842,6848.910326,163291720,2220566,47628498801,0,1,15,9,20,0,198526212
2021-04-28,1,2021,4,18,4,0,163,24379,6894.57771,168082910,2656979,50186731797,0,5,16,11,21,0,151875882
2021-04-29,1,2021,4,18,5,0,163,23381,7030.232668,164373870,2260536,46035893842,1,3,15,10,20,2,158085048
2021-04-30,1,2021,4,18,6,0,163,23666,7828.96645,185280320,2671447,48513476885,4,7,13,9,17,8,189608561
2021-05-01,1,2021,5,18,7,1,163,23210,8733.967255,202715380,2701488,45784187376,1,1,10,8,13,9,154773557
2021-05-02,1,2021,5,19,1,0,162,24388,7734.061424,188618290,2440117,45282037399,0,1,12,7,18,2,19163255
2021-05-03,1,2021,5,19,2,0,162,25361,7069.335988,179285430,2551052,42538769679,6,2,14,6,21,0,133271765
2021-05-04,1,2021,5,19,3,0,162,23477,7648.887848,179572940,2182355,50105080269,0,4,16,11,20,18,206509444
2021-05-05,1,2021,5,19,4,1,162,24273,7647.891814,185637278,2418343,47686442698,0,0,15,9,20,1,157216722
2021-05-06,1,2021,5,19,5,0,162,25951,6972.089708,180932700,2511224,48718773895,0,0,15,6,23,0,158042843
2021-05-07,1,2021,5,19,6,0,162,24255,7667.490208,185974975,2374183,50198548711,2,2,15,9,21,2,143570877
2021-05-08,1,2021,5,19,7,0,163,25760,8125.037849,209300975,2581365,47205710427,0,1,15,7,23,0,149243897
2021-05-09,1,2021,5,20,1,0,163,24839,7473.738476,185640190,2367156,47207023417,0,4,16,9,23,0,19006354
2021-05-10,1,2021,5,20,2,0,163,23766,7022.009173,166885070,2444939,47337003038,0,3,13,10,17,5,120162815
2021-05-11,1,2021,5,20,3,0,162,25051,6956.25484,174261140,2277521,46012260715,1,2,16,11,21,3,190326151
2021-05-12,1,2021,5,20,4,0,162,25240,6911.715135,174451690,3185369,47405899396,1,2,18,12,25,0,144313448
2021-05-13,1,2021,5,20,5,0,163,25750,6957.295146,179150350,2066898,44743071772,0,2,20,12,27,0,136781363
2021-05-14,1,2021,5,20,6,0,163,27687,7546.595731,208942596,2531789,47262632883,2,1,21,14,28,0,156858339
2021-05-15,1,2021,5,20,7,0,163,26427,8189.30378,216418731,2079854,44603840169,0,2,20,17,23,9,176114028
2021-05-16,1,2021,5,21,1,0,160,18015,8634.401166,155548737,2416493,44482610480,0,0,19,16,22,44,23055623
2021-05-17,1,2021,5,21,2,0,163,22449,7386.355205,165816288,2855666,42045613105,0,2,15,14,18,5,136016516
2021-05-18,1,2021,5,21,3,0,164,26569,7378.678987,196044122,2559895,49448065951,2,7,17,13,23,0,192830589
2021-05-19,1,2021,5,21,4,1,164,27287,7417.757174,202408340,2394527,46359536322,1,2,20,13,27,0,149222055
2021-05-20,1,2021,5,21,5,0,164,23615,7256.335168,171358355,2328465,45132325814,1,0,16,14,19,11,163942013
2021-05-21,1,2021,5,21,6,0,164,24638,7745.183051,190825820,2337685,48928865791,1,3,16,14,19,3,162918607
2021-05-22,1,2021,5,21,7,0,165,31082,7956.039026,247289605,2263918,46120372290,0,2,19,12,25,0,146672757
2021-05-23,1,2021,5,22,1,0,164,26865,7504.384701,201605295,2532322,45753793880,1,3,20,13,27,0,20331272
2021-05-24,1,2021,5,22,2,0,165,25326,7115.560886,180208695,2489721,42385452440,2,3,19,15,25,0,135032471
2021-05-25,1,2021,5,22,3,0,165,23234,7202.516571,167343270,2515995,44970996607,1,2,16,11,21,3,209512283
2021-05-26,1,2021,5,22,4,0,165,25229,7038.532641,177575140,2552869,51824961196,4,3,17,10,23,0,157521407
2021-05-27,1,2021,5,22,5,0,165,22315,7127.819404,159057290,2234746,47699890750,0,3,16,12,21,3,142102055
2021-05-28,1,2021,5,22,6,0,165,23599,7747.791432,182840130,2383225,48107729008,1,9,16,11,22,15,222823853
2021-05-29,1,2021,5,22,7,0,165,26763,8172.353062,218716685,2750617,46941626490,0,2,17,12,23,0,149568534
2021-05-30,1,2021,5,23,1,0,165,25346,7532.124201,190909220,2306236,48645137874,0,2,19,11,26,4,21336797
2021-05-31,1,2021,5,23,2,0,166,24223,6958.968749,168567100,2655055,45687398991,4,15,19,15,25,6,163529059
2021-06-01,2,2021,6,23,3,0,166,24365,7144.464601,174074880,2618939,47950857763,4,0,20,15,26,0,195930591
2021-06-02,2,2021,6,23,4,0,166,25765,7048.590724,181606940,2960117,50473846561,1,0,22,16,28,0,161467546
2021-06-03,2,2021,6,23,5,0,166,21879,7461.147219,163242440,2618435,47637933764,0,0,18,15,21,20,167780921
2021-06-04,2,2021,6,23,6,0,166,27603,7633.911169,210718850,2697137,50062591202,0,2,19,14,25,1,152942578
2021-06-05,2,2021,6,23,7,0,166,31767,8037.469386,255326290,2757530,46970091258,0,1,20,14,26,0,165264950
2021-06-06,2,2021,6,24,1,1,166,27447,7717.727621,211828470,2388155,46868549420,0,0,22,17,27,0,22543470
2021-06-07,2,2021,6,24,2,0,166,25958,7028.172818,182437310,2586118,42749046514,1,3,22,16,28,0,142013349
2021-06-08,2,2021,6,24,3,0,166,25625,6938.824976,177807390,2582142,46839621821,1,0,23,17,29,0,242784963
2021-06-09,2,2021,6,24,4,0,166,26523,7013.733363,186025250,2470706,49060484561,1,3,24,18,30,0,156827370
2021-06-10,2,2021,6,24,5,0,168,25601,7061.091364,180771000,2699497,46518064108,0,4,23,18,28,5,155280201
2021-06-11,2,2021,6,24,6,0,166,28007,7737.021459,216690760,2690806,49042229201,1,3,22,19,26,23,162260847
2021-06-12,2,2021,6,24,7,0,168,32523,7937.744673,258159270,2395259,45664185707,0,0,23,19,28,3,161592779
2021-06-13,2,2021,6,25,1,0,167,28581,7652.072321,218703879,2624760,45521218169,0,3,23,19,29,0,23321841
2021-06-14,2,2021,6,25,2,0,167,27158,7015.76773,190534220,3212670,41161906741,0,7,22,19,27,0,152507273
2021-06-15,2,2021,6,25,3,0,167,25803,6971.257799,179879365,3011075,43728311847,3,2,21,19,23,9,229697121
2021-06-16,2,2021,6,25,4,0,168,26038,7041.86343,183356040,2371942,46459954577,0,2,22,19,25,3,164005653
2021-06-17,2,2021,6,25,5,0,168,25759,7067.637719,182055280,2546414,43852755063,1,2,20,18,24,1,156825345
2021-06-18,2,2021,6,25,6,0,168,27790,7728.86344,214785115,2557583,47481726918,4,4,21,18,24,3,164720804
2021-06-19,2,2021,6,25,7,0,168,32605,8049.983438,262469710,2793848,44462104068,0,4,22,17,28,0,183098628
2021-06-20,2,2021,6,26,1,0,168,27431,7883.742481,216258940,2569598,44362222557,0,0,23,16,29,0,22789586
2021-06-21,2,2021,6,26,2,0,167,25748,7178.865543,184841430,2838058,40185370310,1,4,22,18,29,0,136557373
2021-06-22,2,2021,6,26,3,0,168,24089,7265.819254,175026320,2700460,43782501790,1,2,21,17,26,5,223974454
2021-06-23,2,2021,6,26,4,0,169,25585,7083.523158,181231940,2927112,47165618150,0,1,20,18,24,3,158336304
2021-06-24,2,2021,6,26,5,0,169,26737,7246.69559,193754900,2356484,45214732375,3,4,22,18,27,0,143782640
2021-06-25,2,2021,6,26,6,0,169,29369,7738.319316,227266700,2568192,48694261103,1,9,23,18,28,2,179402763
2021-06-26,2,2021,6,26,7,0,169,29817,8427.758997,251290490,2517416,46704906529,0,3,22,19,26,4,189985638
2021-06-27,2,2021,6,27,1,0,168,29655,7789.267577,230990730,2556171,46581375131,0,2,23,18,28,1,23756668
2021-06-28,2,2021,6,27,2,0,169,26945,7234.330302,194929030,2737782,43845270674,2,8,23,20,28,3,161990151
2021-06-29,2,2021,6,27,3,0,168,26773,7169.850596,191958410,2519656,49965654563,1,4,23,19,28,3,223177369
2021-06-30,2,2021,6,27,4,0,170,25612,7520.365844,192611610,3603537,52590281899,30,23,23,20,28,2,177587726
